SKU,Marca,Modelo,PrecioNormal,PrecioInternet,Descripcion,Imagen,Categoria1,Categoria2,Categoria3,Categoria4,Categoria5,Categoria6,Categoria7,Categoria8
3704878,Nike,Zapato Futbol Mercurial Victory,0,36990,a,http://integra.ing.puc.cl/IMAGENESTI/3704878.jpeg,Especiales ,BUSCADOR ZAPATILLAS,Running,2 a 4 veces,Asfalto,Trail,Neutro,Futbol
3714827,Bianchi,Banca Abdominal BFB-1500,0,49900,a,http://integra.ing.puc.cl/IMAGENESTI/3714827.jpeg,Deportes,Fitness,Trotadoras,,,,,
2521743,Biotherm,Limpiador Facial Antifatiga Hombre 100 ml,0,18990,a,http://integra.ing.puc.cl/IMAGENESTI/2521743.jpeg,Belleza,Belleza Hombre,Cremas y Tratamientos,,,,,
3169505,Carolina Herrera,After Shave 212 Vip Men 100 ml,0,24900,a,http://integra.ing.puc.cl/IMAGENESTI/3169505.jpeg,Belleza,Belleza Hombre,Cremas y Tratamientos,,,,,
3670302,Teeez,Rubor Isla Chique Soft Rose,0,6900,a,http://integra.ing.puc.cl/IMAGENESTI/3670302.jpeg,Moda  ,Calzado Mujer,Botas,,,,,
3764549,Sybilla,Vestido Pabilo Negro,0,16990,a,http://integra.ing.puc.cl/IMAGENESTI/3764549.jpeg,Moda  ,Marcas Moda,,,,,,
3659138,Mica,Mug Porcelana Ciervo,0,1290,a,http://integra.ing.puc.cl/IMAGENESTI/3659138.jpeg,Decohogar,Menaje Comedor,Loza a Granel,,,,,
3133012,Les Desserts,Colonia Doble Caramelo Vainilla 250 ml,0,9900,a,http://integra.ing.puc.cl/IMAGENESTI/3133012.jpeg,Belleza,Spa,Set de Spa,,,,,
3514377,Disney,Pouf Mickey,0,6990,a,http://integra.ing.puc.cl/IMAGENESTI/3514377.jpeg,Dormitorio,Camas Americanas,Cama Americana 2 Plazas,,,,,
3632867,Vibram,Zapatilla Mujer Sprint ,0,46990,a,http://integra.ing.puc.cl/IMAGENESTI/3632867.jpeg,Especiales ,HP,,,,,,
3525180,Amano,Crema Repadora e Hidratante de Manos Moras 50 ml,0,2990,a,http://integra.ing.puc.cl/IMAGENESTI/3525180.jpeg,Belleza,Marcas Belleza,Mavala,Zoya,,,,
3548956,Simple by Puro,Alentejo Plato Ensalada 21 cm Blanco,0,4990,a,http://integra.ing.puc.cl/IMAGENESTI/3548956.jpeg,Decohogar,Marcas Decohogar,Simple by Puro,,,,,
880171541,Mossimo,Mini Falda Negra,0,12990,a,http://integra.ing.puc.cl/IMAGENESTI/880171541.jpeg,Moda  ,Vestuario Mujer,,,,,,
3629484,Mamas and Papas,Silla de Comer Baby SnugRaspberry,49990,39990,a,http://integra.ing.puc.cl/IMAGENESTI/3629484.jpeg,Infantil,Especiales infantiles,Especial Marca,,,,,
3565267,Marmot,Falda Velox Skort Negra,0,24990,a,http://integra.ing.puc.cl/IMAGENESTI/3565267.jpeg,Deportes,Accesorios Deportivos,Vestuario Outdoor,Poleras y Polerones,,,,
